Time Index,CC Value,Time (UTC),MATLAB Time,Threshold Value,Station,Network,Template,Phase,MAD,CC Relation to MAD
74669.225,0.89529,01 December 2011 20:44:29.225,734838.8642,0.89259,MCWV,US,M4_Mainshock_S,S,0.099177,9.0273
62067.175,0.90922,02 December 2011 17:14:27.175,734839.7184,0.88518,MCWV,US,M4_Mainshock_S,S,0.098353,9.2445
66722.025,1.1801,03 December 2011 18:32:02.025,734840.7722,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,11.9468
66429.15,1.1711,03 December 2011 18:27:09.150,734840.7689,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,11.8558
66205.025,1.1645,03 December 2011 18:23:25.025,734840.7663,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,11.7894
66434.375,1.1154,03 December 2011 18:27:14.375,734840.7689,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,11.2921
66210.25,1.0903,03 December 2011 18:23:30.250,734840.7663,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,11.0381
66727.225,1.0757,03 December 2011 18:32:07.225,734840.7723,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,10.8907
67170.175,1.0529,03 December 2011 18:39:30.175,734840.7774,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,10.6594
66736.025,0.97039,03 December 2011 18:32:16.025,734840.7724,0.88899,MCWV,US,M4_Mainshock_S,S,0.098776,9.8241
78052.9,1.1876,06 December 2011 21:40:52.900,734843.9034,0.89275,MCWV,US,M4_Mainshock_S,S,0.099195,11.9721
78053.5,0.90413,06 December 2011 21:40:53.500,734843.9034,0.89275,MCWV,US,M4_Mainshock_S,S,0.099195,9.1147
63541.4,0.90179,06 December 2011 17:39:01.400,734843.7354,0.89275,MCWV,US,M4_Mainshock_S,S,0.099195,9.0911
16915.025,0.89815,06 December 2011 04:41:55.025,734843.1958,0.89275,MCWV,US,M4_Mainshock_S,S,0.099195,9.0544
61556.6,0.95429,07 December 2011 17:05:56.600,734844.7125,0.87807,MCWV,US,M4_Mainshock_S,S,0.097564,9.7812
61557.2,0.94025,07 December 2011 17:05:57.200,734844.7125,0.87807,MCWV,US,M4_Mainshock_S,S,0.097564,9.6373
61931.875,1.1827,08 December 2011 17:12:11.875,734845.7168,0.86213,MCWV,US,M4_Mainshock_S,S,0.095792,12.3461
60342.725,0.92962,08 December 2011 16:45:42.725,734845.6984,0.86213,MCWV,US,M4_Mainshock_S,S,0.095792,9.7046
71673.35,0.95898,09 December 2011 19:54:33.350,734846.8296,0.88398,MCWV,US,M4_Mainshock_S,S,0.09822,9.7635
73314.95,0.91662,09 December 2011 20:21:54.950,734846.8486,0.88398,MCWV,US,M4_Mainshock_S,S,0.09822,9.3323
77601.225,0.89492,10 December 2011 21:33:21.225,734847.8982,0.88511,MCWV,US,M4_Mainshock_S,S,0.098346,9.0997
6770.45,0.92296,11 December 2011 01:52:50.450,734848.0784,0.89619,MCWV,US,M4_Mainshock_S,S,0.099576,9.2688
29649.775,1.0799,13 December 2011 08:14:09.775,734850.3432,0.88089,MCWV,US,M4_Mainshock_S,S,0.097877,11.0333
46838.5,1.0296,13 December 2011 13:00:38.500,734850.5421,0.88089,MCWV,US,M4_Mainshock_S,S,0.097877,10.5191
67598.825,0.91083,13 December 2011 18:46:38.825,734850.7824,0.88089,MCWV,US,M4_Mainshock_S,S,0.097877,9.3059
29649.1,0.90611,13 December 2011 08:14:09.100,734850.3432,0.88089,MCWV,US,M4_Mainshock_S,S,0.097877,9.2576
61540.85,1.1914,14 December 2011 17:05:40.850,734851.7123,0.88751,MCWV,US,M4_Mainshock_S,S,0.098612,12.0813
25163.975,0.93961,14 December 2011 06:59:23.975,734851.2912,0.88751,MCWV,US,M4_Mainshock_S,S,0.098612,9.5284
72416.225,0.88346,15 December 2011 20:06:56.225,734852.8382,0.88315,MCWV,US,M4_Mainshock_S,S,0.098128,9.0032
75452.4,0.98016,16 December 2011 20:57:32.400,734853.8733,0.89658,MCWV,US,M4_Mainshock_S,S,0.09962,9.839
73738.875,0.93386,16 December 2011 20:28:58.875,734853.8535,0.89658,MCWV,US,M4_Mainshock_S,S,0.09962,9.3742
61416.05,0.89865,16 December 2011 17:03:36.050,734853.7108,0.89658,MCWV,US,M4_Mainshock_S,S,0.09962,9.0208
64297.775,1.0308,17 December 2011 17:51:37.775,734854.7442,0.91677,MCWV,US,M4_Mainshock_S,S,0.10186,10.1197
22449.875,1.0224,17 December 2011 06:14:09.875,734854.2598,0.91677,MCWV,US,M4_Mainshock_S,S,0.10186,10.0374
16480.075,0.95032,17 December 2011 04:34:40.075,734854.1907,0.91677,MCWV,US,M4_Mainshock_S,S,0.10186,9.3294
73937.275,1.0521,19 December 2011 20:32:17.275,734856.8558,0.87967,MCWV,US,M4_Mainshock_S,S,0.097741,10.7643
75297.8,0.92753,19 December 2011 20:54:57.800,734856.8715,0.87967,MCWV,US,M4_Mainshock_S,S,0.097741,9.4897
61684.65,1.1856,20 December 2011 17:08:04.650,734857.7139,0.88981,MCWV,US,M4_Mainshock_S,S,0.098867,11.9914
72294.575,0.90507,21 December 2011 20:04:54.575,734858.8367,0.88721,MCWV,US,M4_Mainshock_S,S,0.098579,9.1811
59179.1,1.0872,22 December 2011 16:26:19.100,734859.6849,0.90759,MCWV,US,M4_Mainshock_S,S,0.10084,10.7812
60407.775,1.024,22 December 2011 16:46:47.775,734859.6992,0.90759,MCWV,US,M4_Mainshock_S,S,0.10084,10.154
65996.6,0.92185,22 December 2011 18:19:56.600,734859.7638,0.90759,MCWV,US,M4_Mainshock_S,S,0.10084,9.1414
23131.575,0.89917,24 December 2011 06:25:31.575,734861.2677,0.89255,MCWV,US,M4_Mainshock_S,S,0.099172,9.0667
24188.025,1.0267,25 December 2011 06:43:08.025,734862.28,0.91457,MCWV,US,M4_Mainshock_S,S,0.10162,10.1033
55270.4,0.96856,27 December 2011 15:21:10.400,734864.6397,0.88048,MCWV,US,M4_Mainshock_S,S,0.097831,9.9003
55271.05,0.88752,27 December 2011 15:21:11.050,734864.6397,0.88048,MCWV,US,M4_Mainshock_S,S,0.097831,9.072
61480.525,1.2056,28 December 2011 17:04:40.525,734865.7116,0.87207,MCWV,US,M4_Mainshock_S,S,0.096896,12.4419
72899.825,0.93814,28 December 2011 20:14:59.825,734865.8437,0.87207,MCWV,US,M4_Mainshock_S,S,0.096896,9.6819
76574.775,0.92245,28 December 2011 21:16:14.775,734865.8863,0.87207,MCWV,US,M4_Mainshock_S,S,0.096896,9.5199
16560.375,0.92239,28 December 2011 04:36:00.375,734865.1917,0.87207,MCWV,US,M4_Mainshock_S,S,0.096896,9.5194
59661.3,0.96436,29 December 2011 16:34:21.300,734866.6905,0.87994,MCWV,US,M4_Mainshock_S,S,0.097771,9.8634
33075,1.0959,30 December 2011 09:11:15.000,734867.3828,0.90521,MCWV,US,M4_Mainshock_S,S,0.10058,10.8962
75754.35,1.0307,30 December 2011 21:02:34.350,734867.8768,0.90521,MCWV,US,M4_Mainshock_S,S,0.10058,10.2479
75593.775,0.95793,30 December 2011 20:59:53.775,734867.8749,0.90521,MCWV,US,M4_Mainshock_S,S,0.10058,9.5242
72333.625,1.4583,31 December 2011 20:05:33.625,734868.8372,0.89622,MCWV,US,M4_Mainshock_S,S,0.09958,14.6443
77912.325,1.1572,03 January 2012 21:38:32.325,734871.9018,0.93595,MCWV,US,M4_Mainshock_S,S,0.10399,11.1271
59935,0.97483,05 January 2012 16:38:55.000,734873.6937,0.91008,MCWV,US,M4_Mainshock_S,S,0.10112,9.6403
78477.75,1.0408,06 January 2012 21:47:57.750,734874.9083,0.9079,MCWV,US,M4_Mainshock_S,S,0.10088,10.3174
75025.325,0.97884,06 January 2012 20:50:25.325,734874.8683,0.9079,MCWV,US,M4_Mainshock_S,S,0.10088,9.7033
78478.35,0.9291,06 January 2012 21:47:58.350,734874.9083,0.9079,MCWV,US,M4_Mainshock_S,S,0.10088,9.2102
